Country,Region,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,
Afghanistan,Southern Asia,435,555,770,870,765,740,610,535,930,750,820,955,1200,870,720,770,1035,1270,765,830,730,95,360,465,
Albania,Southern Europe,90,165,170,140,145,150,110,105,170,190,175,110,180,175,155,135,125,200,170,130,110,45,70,60,
Algeria,Northern Africa,440,875,940,570,410,880,1055,475,530,740,925,440,625,855,935,810,675,870,1075,1080,725,260,1085,645,
Argentina,South America,40,65,65,55,70,100,60,35,60,50,55,65,70,60,90,55,60,65,110,75,70,55,35,35,
Armenia,Western Asia,25,75,130,70,50,90,140,70,70,75,50,60,50,45,70,45,20,55,85,45,30,10,20,45,
Australia,Australia and New Zealand,265,415,420,375,465,570,405,265,510,410,450,495,610,560,525,485,465,585,610,475,445,285,225,225,
Bangladesh,Southern Asia,565,875,915,950,895,855,790,690,685,930,935,640,820,870,835,680,700,965,1025,705,665,285,375,290,
Belarus,Eastern Europe,35,50,70,60,75,100,105,70,80,125,65,40,70,75,50,60,35,75,70,55,45,25,35,25,
Belgium,Western Europe,65,115,115,80,110,155,105,90,145,135,130,95,100,95,135,85,90,125,145,105,110,70,90,75,
"Benin, Republic of",Western Africa,60,85,55,60,80,85,75,55,45,55,60,35,65,150,180,95,45,75,120,95,70,15,95,50,
Brazil,South America,370,545,520,295,460,505,390,370,505,640,830,780,1225,930,960,830,925,1380,1830,1155,1250,995,570,870,
Bulgaria,Eastern Europe,45,105,85,130,105,110,80,75,75,90,65,70,35,55,45,45,40,50,40,35,40,15,15,30,
Burkina-Faso,Western Africa,35,70,75,55,80,60,90,55,85,65,70,50,65,65,120,55,25,50,90,70,60,10,60,45,
Burundi,Eastern Africa,285,250,245,165,100,160,165,210,120,255,225,200,235,190,315,350,355,430,465,305,200,70,145,385,
"Cameroon, Federal Republic of",Middle Africa,310,510,700,510,460,500,665,475,570,665,555,500,450,595,705,525,375,665,1010,905,695,85,520,290,
Central African Republic,Middle Africa,25,40,105,290,20,20,45,20,85,55,55,35,40,5,95,100,15,70,155,140,45,0,0,60,
Chile,South America,45,80,80,55,60,90,60,40,70,85,80,75,110,100,95,70,95,125,135,100,100,70,55,75,
"China, People's Republic of",Eastern Asia,4175,4620,5680,4980,6215,8340,7505,4730,7785,8680,7755,6025,7390,7710,7805,6810,6840,8495,8690,6220,6620,3470,2980,3480,
Colombia,South America,590,665,490,435,555,795,630,460,605,685,535,410,520,585,655,510,425,700,680,470,540,265,235,485,
"Congo, Democratic Republic of the",Middle Africa,350,335,355,635,460,865,650,505,410,740,685,525,630,590,495,670,350,580,785,580,380,65,140,275,
Croatia,Southern Europe,85,110,175,135,185,180,130,135,200,145,120,115,140,165,130,100,95,120,140,70,80,55,55,35,
Cuba,Caribbean,210,220,175,220,275,315,315,205,235,225,200,215,155,175,235,215,165,125,160,145,145,20,25,215,
Czech Republic,Eastern Europe,70,60,85,65,95,85,75,70,105,85,45,85,100,115,105,80,65,130,130,55,55,50,40,60,
Dominican Republic,Caribbean,105,160,190,145,130,215,170,90,160,150,165,180,180,205,240,155,170,175,180,135,175,40,85,95,
Egypt,Northern Africa,580,1170,1435,575,760,970,1010,340,510,755,915,685,765,1030,1015,705,675,1065,1155,755,535,300,605,470,
El Salvador,Central America,110,180,190,180,160,230,155,75,160,205,190,165,160,190,175,160,160,195,250,135,165,90,75,135,
Eritrea,Eastern Africa,535,570,535,570,750,1300,1530,1080,1640,1135,1025,895,1000,1420,1425,1850,1440,1810,1880,1900,1145,190,380,905,
Ethiopia,Eastern Africa,265,365,350,380,425,605,470,430,435,545,510,420,405,455,575,585,480,665,695,630,430,120,185,360,
France,Western Europe,1130,1810,1855,1050,1890,1975,1505,1020,2005,1805,1625,1190,1550,1505,2085,1030,850,1160,1400,1550,1565,680,1045,1310,
Germany,Western Europe,230,370,395,280,360,385,270,195,375,265,265,240,355,310,355,255,270,430,470,355,295,155,190,145,
Ghana,Western Africa,110,90,85,85,115,155,85,125,150,155,175,210,200,175,240,275,200,300,330,195,220,95,115,110,
Greece,Southern Europe,95,110,155,115,115,135,110,75,95,115,95,100,100,110,110,100,80,110,125,90,80,50,50,60,
"Guinea, Republic of",Western Africa,55,45,80,70,70,115,145,80,105,105,100,70,85,75,100,85,65,70,115,70,60,25,65,50,
Guyana,South America,120,155,130,135,125,160,140,90,125,105,100,100,95,115,105,105,80,135,100,95,85,25,35,75,
Haiti,Caribbean,420,670,760,875,720,945,770,490,400,715,595,640,650,535,405,510,320,355,405,375,300,145,255,285,
Honduras,Central America,60,135,140,90,75,125,110,50,85,135,85,75,80,100,105,105,75,80,100,65,70,40,40,55,
Hong Kong SAR,Eastern Asia,200,190,260,240,320,395,430,220,305,405,345,305,350,410,445,325,300,405,475,360,410,185,250,200,
Hungary,Eastern Europe,145,185,190,240,160,165,110,85,215,220,145,110,140,225,175,215,175,240,225,155,225,100,140,135,
India,Southern Asia,6165,10645,12825,9700,10240,14770,7750,6945,11090,12740,12950,14810,19300,20175,16320,14185,15595,23830,27030,19140,16660,9885,8870,7455,
"Indonesia, Republic of",South-Eastern Asia,40,95,105,135,130,135,95,85,100,135,125,140,105,105,125,110,105,125,170,110,90,90,60,55,
Iran,Southern Asia,3845,3520,2690,1585,1690,2390,1460,935,1405,1605,1095,630,805,1655,1740,1310,1035,2050,1580,1395,1220,890,910,785,
Iraq,Western Asia,445,870,1280,1385,565,980,665,210,870,1230,1440,1205,1275,1715,1165,1170,1070,1320,1325,730,705,90,440,695,
"Ireland, Republic of",Northern Europe,305,530,750,565,670,660,500,425,675,420,455,425,640,465,420,255,360,380,555,320,340,370,125,195,
Israel,Western Asia,300,535,880,450,630,875,570,370,550,475,550,300,450,480,525,345,215,355,465,275,280,165,190,120,
Italy,Southern Europe,140,260,295,180,295,280,240,185,310,275,250,230,320,300,310,245,265,335,520,295,300,155,185,120,
"Ivory Coast, Republic of",Western Africa,195,350,455,370,305,345,570,540,355,490,310,245,255,490,455,270,155,380,690,625,520,40,515,115,
Jamaica,Caribbean,635,965,1035,780,780,890,1005,890,1125,850,910,945,1025,890,1075,885,870,965,1185,960,770,345,445,460,
Japan,Eastern Asia,195,265,300,235,270,310,255,200,345,285,230,230,270,280,245,245,210,340,335,235,225,125,130,135,
Jordan,Western Asia,220,245,455,190,265,255,270,125,165,205,265,155,215,225,295,255,145,235,380,245,170,90,145,135,
Kazakhstan,Central Asia,55,85,90,100,70,115,160,60,75,90,85,85,110,110,125,60,65,115,140,80,110,60,70,50,
Kenya,Eastern Africa,65,110,95,110,115,145,115,100,90,135,115,120,135,120,105,105,100,155,150,110,95,55,80,70,
"Korea, Republic of",Eastern Asia,805,1270,1110,920,1335,1185,740,755,1415,950,730,885,1435,1150,1175,1040,1175,1665,1875,1385,1145,690,680,775,
Lebanon,Western Asia,355,610,700,440,470,600,575,265,250,335,485,295,340,340,430,395,345,525,630,460,470,120,375,310,
Libya,Northern Africa,35,35,100,75,50,160,50,45,140,125,140,95,100,115,125,120,155,185,135,140,165,75,115,140,
Malaysia,South-Eastern Asia,65,85,100,80,130,95,75,60,85,90,95,85,140,110,85,95,60,105,115,80,80,65,35,50,
Mauritius,Eastern Africa,100,245,270,105,160,170,110,110,180,215,185,145,140,170,150,100,105,180,270,240,160,80,105,75,
Mexico,Central America,645,825,995,755,1035,980,840,535,1015,780,725,615,825,800,930,760,710,995,855,900,805,555,540,530,
Moldova,Eastern Europe,110,360,160,295,310,295,240,245,185,285,95,120,140,100,65,95,55,60,95,65,60,25,50,40,
Morocco,Northern Africa,560,720,835,595,495,575,595,445,550,745,540,430,600,590,995,600,455,710,905,950,885,95,1290,710,
Myanmar (Burma),South-Eastern Asia,50,95,70,230,65,160,190,15,110,25,25,25,50,40,35,60,40,25,95,50,25,5,15,15,
Nepal,Southern Asia,145,450,530,395,255,265,125,110,205,275,295,340,320,385,410,285,285,365,405,355,265,80,105,115,
"Netherlands, The",Western Europe,90,175,150,130,160,160,130,70,155,120,80,145,175,105,125,120,120,160,130,145,140,55,60,45,
New Zealand,Australia and New Zealand,60,85,100,90,140,175,110,70,140,95,85,90,110,125,125,90,120,185,170,130,125,125,60,75,
Nigeria,Western Africa,945,910,1250,985,895,1615,1285,620,875,910,1610,2055,2550,3040,2830,2500,2100,3605,4065,2835,2380,970,1430,1565,
Pakistan,Southern Asia,2220,3090,3355,2630,2830,3715,2820,1985,1840,1985,2060,1770,2245,2460,2405,2385,2160,3045,3085,2505,2275,1055,1525,1365,
Palestinian Authority (Gaza/West Bank),Western Asia,60,90,130,115,85,110,140,75,75,60,110,75,100,100,105,150,145,165,170,105,175,70,135,100,
Peru,South America,125,130,155,140,130,145,100,65,95,125,110,90,145,125,135,145,110,125,135,130,75,70,45,65,
Philippines,South-Eastern Asia,10350,15310,14225,10955,10620,14915,9845,6470,10660,13285,9090,7845,9100,11070,8280,6600,5965,8165,7865,5825,5015,1880,2010,2060,
Poland,Eastern Europe,160,255,280,280,275,360,230,135,345,240,205,205,230,245,250,175,200,235,290,185,150,90,85,90,
Portugal,Southern Europe,125,240,260,205,205,265,235,150,275,190,155,175,205,230,225,205,150,260,240,200,190,110,120,130,
Romania,Eastern Europe,225,270,285,400,350,400,290,325,330,270,190,190,210,210,210,180,140,225,180,130,125,55,80,70,
Russia,Eastern Europe,375,490,645,615,595,700,680,435,540,670,535,555,575,595,540,435,445,670,645,505,520,230,305,330,
Rwanda,Eastern Africa,60,85,115,100,55,115,115,80,85,110,110,50,100,80,165,115,95,120,190,140,80,30,80,105,
Senegal,Western Africa,120,160,215,155,135,155,190,120,155,160,125,80,130,140,180,145,50,125,180,130,95,30,85,65,
"Serbia, Republic of",Southern Europe,120,155,195,145,165,110,105,100,115,100,70,85,100,160,140,100,90,160,190,105,85,50,55,25,
Singapore,South-Eastern Asia,40,60,90,65,55,90,65,55,80,60,70,115,85,95,75,85,60,80,90,85,70,45,35,25,
Slovak Republic,Eastern Europe,35,55,70,50,65,115,50,35,60,75,70,55,65,110,50,80,60,125,140,60,90,75,85,40,
"Somalia, Democratic Republic of",Eastern Africa,255,210,270,425,270,410,370,265,310,405,325,350,290,470,435,950,625,870,1045,735,415,75,230,280,
"South Africa, Republic of",Southern Africa,155,315,290,190,275,285,240,270,425,340,305,485,600,510,400,315,275,465,585,470,395,300,145,275,
Spain,Southern Europe,115,220,230,160,210,180,145,115,180,155,170,170,195,175,195,160,165,145,200,150,135,85,80,95,
Sri Lanka,Southern Asia,365,475,490,455,495,440,195,405,560,610,425,555,650,590,465,460,455,645,530,610,485,205,345,295,
St. Lucia,Caribbean,105,120,120,95,85,85,105,50,105,75,105,95,95,70,90,60,70,70,65,70,60,15,40,40,
St. Vincent and the Grenadines,Caribbean,130,120,125,110,80,145,125,70,135,105,135,100,75,115,85,85,60,85,105,80,75,30,25,40,
Stateless,NA,245,205,385,205,215,270,170,185,260,265,260,150,180,255,230,230,225,275,325,190,170,65,165,120,
"Sudan, Democratic Republic of",Eastern Africa,80,95,90,70,85,145,140,70,90,115,130,90,100,175,195,245,210,380,330,330,235,120,225,265,
Syria,Western Asia,745,975,960,7165,20510,3070,3545,7875,4260,3360,2340,2105,2025,3780,3810,2430,1645,2655,3610,2210,1760,385,890,1800,
Taiwan,Eastern Asia,110,185,165,165,185,280,210,115,220,220,170,185,240,250,230,235,210,290,285,230,205,135,135,105,
Thailand,South-Eastern Asia,95,140,135,115,135,150,90,85,150,205,125,115,135,125,155,120,120,125,145,90,110,50,55,75,
"Togo, Republic of",Western Africa,60,85,60,55,60,100,45,40,45,25,75,65,70,95,115,70,50,75,120,170,85,35,60,60,
"Trinidad and Tobago, Republic of",Caribbean,50,110,110,75,75,115,70,65,70,85,95,125,100,130,145,135,95,130,185,180,125,50,55,70,
