Province,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
NL,528361,528063,528117,528696,528800,529063,529426,529900,529347,528544,528249,528288,527544,526395,525560,525765,524883,524126,523476,524137,523631,522994,522103,520961
PE,144368,144259,144546,144894,145202,145784,146969,147936,148181,148860,150402,151376,151516,152039,153396,155129,155244,155833,157262,158334,158629,159249,159625,159747
NS,938296,936271,936525,938320,938690,940382,942790,946030,945943,947384,950108,953683,953838,954618,958406,963309,963890,965287,969747,975231,975898,977043,979351,979089
NB,759617,758948,758842,759778,760580,762289,763350,764844,764617,764813,766621,767935,768005,768522,770301,772524,772748,773805,776868,780154,780040,781024,781476,781282
QC,8163132,8163063,8175272,8190014,8193624,8204085,8225950,8249692,8257450,8272894,8302063,8336460,8350601,8367551,8401738,8433888,8446906,8465271,8501703,8540429,8556650,8572054,8574571,8575812
ON,13657737,13669860,13707118,13757688,13773629,13816545,13875394,13946431,13971785,14006386,14070141,14150783,14186830,14235643,14308697,14393683,14428712,14467162,14544718,14637880,14689075,14723497,14734014,14733506
MN,1286453,1288094,1292227,1297329,1302544,1307689,1314139,1319911,1324129,1328412,1334790,1340565,1344418,1347055,1352825,1357879,1361632,1364223,1369540,1373574,1377004,1378818,1379263,1379469
SK,1118181,1118806,1120967,1124919,1127773,1131147,1135987,1140690,1143313,1146218,1150331,1154755,1156659,1158451,1161767,1165938,1168461,1169286,1172302,1176272,1179154,1179618,1178681,1177782
AB,4116047,4128300,4144491,4159519,4169830,4181765,4196061,4208958,4217855,4227969,4241100,4258195,4268853,4281706,4298275,4317453,4330698,4343951,4361694,4384968,4402045,4417006,4421876,4428082
BC,4745468,4757759,4776388,4802955,4811465,4832155,4859250,4884002,4890848,4905210,4929384,4956550,4967421,4983183,5010476,5039661,5046576,5063527,5090955,5125659,5131575,5142404,5147712,5145785
YK,37168,37372,37690,37751,37770,38042,38547,38750,38848,39202,39669,39823,40006,40200,40613,40761,40947,41040,41477,41668,41731,41980,42052,42165
NT,44140,44193,44237,44428,44507,44590,44649,44542,44607,44813,44891,45126,45066,45320,44981,44964,45194,45118,45028,45100,45119,45201,45161,45037
NU,36219,36283,36488,36603,36722,36767,36975,37040,37176,37335,37546,37703,37685,37807,38143,38286,38348,38526,38614,38637,38726,38966,39353,39288
