Province,City,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
NL,St. John's,140,155,200,285,295,230,175,110,170,230,260,160,190,260,350,210,195,400,360,340,220,115,95,190
NL,Corner Brook,10,5,15,15,20,10,5,5,0,15,20,0,20,20,15,30,10,5,30,15,30,10,15,5
NL,Gander,0,0,0,5,10,20,15,0,5,10,0,0,0,5,10,5,10,20,5,15,10,5,0,5
NL,Grand Falls-Windsor,0,5,5,0,0,5,10,0,0,0,10,5,0,10,10,0,0,5,0,10,0,0,0,0
NL,Bay Roberts,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0
NL,Other,50,100,65,60,80,90,55,40,75,70,65,45,75,110,100,95,55,115,155,90,105,35,20,30
PE,Charlottetown,190,255,325,330,510,680,625,290,545,585,580,380,405,420,580,330,455,445,655,345,330,165,160,215
PE,Summerside,0,10,10,0,30,30,20,0,10,30,25,40,25,25,25,15,45,45,85,30,90,60,50,25
PE,Other,0,25,30,0,25,45,55,15,55,35,25,40,60,80,75,90,45,110,115,70,70,55,45,20
NS,Halifax,495,645,865,730,1545,1340,955,725,920,970,970,885,1145,1335,1480,1050,1040,1760,2055,1385,965,695,605,540
NS,Cape Breton,20,15,50,40,50,55,30,35,40,45,40,30,35,55,55,60,35,120,90,65,40,40,15,30
NS,Truro,15,15,20,20,30,35,20,15,15,10,15,10,20,35,25,15,25,25,40,35,40,20,10,20
NS,New Glasgow,10,15,20,10,35,25,10,10,25,20,20,10,10,10,20,45,15,35,40,20,15,10,5,5
NS,Kentville,0,15,5,5,25,20,5,10,25,15,15,0,20,25,10,20,20,35,30,15,25,30,0,15
NS,Other,65,130,105,95,165,140,105,90,115,140,105,75,110,165,105,110,135,150,210,195,105,70,90,115
NB,Moncton,165,195,260,225,665,310,255,165,195,270,300,205,370,340,450,285,320,550,625,420,385,220,300,240
NB,Fredericton,180,135,165,165,625,315,320,235,230,455,435,260,360,390,400,320,305,475,560,225,230,100,135,90
NB,Saint John,185,120,215,175,535,275,280,145,185,200,245,145,215,195,240,185,195,290,260,290,215,90,135,95
NB,Miramichi,5,5,0,0,20,10,0,0,15,0,10,20,15,10,15,20,30,30,40,40,15,15,15,15
NB,Edmundston,10,15,20,5,10,15,10,15,5,15,15,0,10,15,15,15,5,45,40,45,45,20,25,20
NB,Bathurst,10,0,10,5,10,20,15,15,30,30,15,10,20,20,25,15,20,40,35,20,15,15,10,0
NB,Campbellton,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,5,0,0,0,0
NB,Other ,70,70,100,55,130,115,90,70,80,115,80,85,175,160,185,145,170,270,385,245,175,130,70,60
QC,Montreal,7990,11550,11765,10490,11640,12825,12500,7380,10905,13720,12080,8025,9325,11785,13130,9555,6865,8780,9885,9100,6460,2590,6075,5825
QC,Quebec,495,845,865,815,810,985,930,785,700,1070,615,510,620,695,840,645,375,545,685,750,685,155,595,495
QC,Ottawa - Gatineau,130,260,240,295,360,330,325,350,295,385,270,290,235,290,385,265,195,325,295,335,190,70,215,205
QC,Sherbrooke,180,245,310,435,390,395,325,340,340,315,305,340,345,280,295,220,225,145,215,180,165,30,75,115
QC,Trois-Rivieres,55,80,95,80,70,85,85,60,90,65,70,35,65,55,90,60,65,55,75,65,50,20,20,45
QC,Drummondville,35,30,35,50,65,45,25,85,50,45,40,35,20,30,40,50,45,25,30,30,40,5,10,20
QC,Saint-Hyacinthe,20,50,50,55,40,65,70,60,40,40,40,20,45,20,25,50,20,25,35,50,20,10,5,45
QC,Saguenay,25,35,50,25,45,35,45,25,45,45,30,20,35,25,15,35,20,35,20,30,30,10,20,20
QC,Granby,45,30,35,45,70,85,55,95,55,30,55,20,30,15,65,50,20,30,15,35,40,0,15,20
QC,Joliette,20,20,10,30,30,15,25,65,35,15,10,15,20,35,30,50,15,20,45,15,25,0,0,10
QC,Rimouski,10,20,20,20,20,15,30,20,30,50,30,20,40,10,45,35,15,10,35,20,20,10,15,15
QC,Victoriaville,10,15,20,35,40,20,15,45,20,20,30,15,10,10,70,40,15,15,15,30,40,5,5,0
QC,Sept-Iles,5,15,10,0,20,5,0,10,5,0,10,5,5,5,15,5,15,5,5,10,5,0,0,15
QC,Rouyn-Noranda,0,0,5,10,0,20,10,0,20,10,15,5,5,10,15,5,10,0,5,20,10,0,5,25
QC,Riviere-du-Loup,5,0,0,0,10,5,5,0,15,5,5,0,0,5,5,10,0,0,10,10,5,0,5,0
QC,Shawinigan,5,5,5,0,10,5,10,0,10,10,5,5,10,5,10,15,5,5,10,0,15,0,5,10
QC,Salaberry-de-Valleyfield,10,5,10,0,10,5,0,0,0,20,10,15,10,5,5,0,0,10,5,0,5,0,0,0
QC,Alma,0,0,0,0,5,0,0,10,10,0,10,0,10,0,5,5,10,0,0,0,0,0,0,0
QC,Val-d'Or,5,10,5,5,10,5,10,0,15,10,0,10,5,10,10,10,5,0,0,5,5,5,0,10
QC,Sorel-Tracy,5,0,5,0,10,10,5,5,0,0,10,0,0,0,0,0,0,5,0,5,0,0,0,0
QC,Saint-Georges,5,15,5,0,0,10,10,5,5,10,5,0,20,20,10,5,0,10,0,0,10,0,0,15
QC,Thetford Mines,0,0,5,0,0,5,5,10,5,5,0,5,5,0,10,0,0,0,0,0,10,0,0,0
QC,Baie-Comeau,5,0,5,0,5,0,5,0,0,5,10,5,0,5,10,0,0,0,0,0,0,0,0,0
QC,Matane,0,0,5,0,10,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QC,Sainte-Marie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
QC,Cowansville,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
QC,Lachute,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QC,Dolbeau-Mistassini,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
