Province,Gender,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
NL,Female,100,130,140,180,205,180,140,85,130,160,175,95,135,205,225,170,130,270,255,225,185,70,70,120
NL,Male,95,140,145,185,205,175,120,75,130,175,185,115,165,205,260,175,145,280,300,245,185,100,65,110
PE,Female,95,150,185,160,275,365,345,140,275,300,285,190,220,250,320,205,270,285,385,200,230,105,115,95
PE,Male,100,140,180,175,285,390,350,170,335,350,345,265,265,275,365,235,275,315,470,245,265,180,140,165
NS,Female,275,420,520,445,890,785,550,425,550,605,575,455,640,775,850,620,635,1045,1230,850,565,410,375,350
NS,Male,325,410,545,460,960,835,580,460,590,600,585,560,700,850,850,680,635,1080,1235,865,620,455,355,370
NB,Female,315,270,390,320,955,510,475,340,370,525,555,355,550,550,655,500,510,835,945,635,515,270,350,260
NB,Male,310,280,375,315,1035,550,495,310,370,565,540,370,610,580,680,480,545,870,1005,655,570,320,345,260
QC,Female,4650,6720,7015,6450,6915,7680,7480,4965,6365,8210,6970,4800,5480,6785,7830,5740,4130,5145,5820,5485,3990,1445,3695,3715
QC,Male,4570,6725,6720,6130,6950,7480,7225,4540,6515,7885,6890,4770,5555,6660,7520,5555,3920,5030,5710,5325,3980,1545,3520,3310
ON,Female,10720,13990,15040,13860,16165,16940,12730,10995,13250,14215,14025,15720,17335,19340,16940,15885,15825,21835,23080,16725,16415,7885,8685,8640
ON,Male,9045,13705,14620,12635,15735,15300,12040,10130,12025,13030,14025,15665,17930,18430,16290,15285,15335,21690,22855,16045,15895,8220,8565,8540
MB,Female,1535,1970,1935,1860,2090,2610,2150,1515,1955,2235,1875,1230,1670,2305,1965,1730,1625,2685,2995,2070,1505,725,1100,895
MB,Male,1535,2065,2140,1860,2215,2680,2080,1470,1975,2300,1885,1250,1745,2200,1930,1685,1605,2695,3145,2085,1520,735,1150,995
SK,Female,1150,1770,1820,1450,2055,2300,1780,1425,1905,2150,1935,1295,1895,2160,2070,1470,1465,1955,2690,1800,1485,635,855,690
SK,Male,1205,1855,1860,1405,2035,2220,1690,1350,1920,2095,2035,1345,2095,2235,2155,1425,1390,1980,2815,1765,1535,645,865,685
AB,Female,4345,6015,7235,6630,7690,8075,5260,4385,6980,6545,4380,4335,5470,6030,5390,4930,4580,6430,6360,5190,4400,2190,2520,2755
AB,Male,3855,5950,6930,6235,7670,7350,4805,3965,6385,5750,4060,3665,5155,5605,5005,4440,3965,5990,6320,4855,4080,2085,2375,2540
BC,Female,3730,4715,5715,4630,6020,6185,4045,3700,5620,5405,4440,4670,6180,6300,5615,5130,4540,7295,8200,6085,5685,3005,2560,3315
BC,Male,3050,4500,5180,4210,5740,5540,3775,3070,5025,4750,4255,4275,6005,5785,5240,4615,4310,6390,7700,5715,5345,3080,2335,3145
YK,Female,30,40,55,20,40,25,30,25,35,30,20,20,45,40,30,40,35,50,70,45,50,10,20,20
YK,Male,25,35,45,20,25,25,15,25,35,35,25,20,50,45,35,30,30,60,60,50,40,15,15,10
NT,Female,20,45,35,25,30,30,20,20,40,35,15,20,40,30,35,30,25,35,25,20,25,15,10,15
NT,Male,10,25,30,20,20,30,15,20,45,30,20,30,60,30,20,25,30,25,20,15,25,15,10,10
NU,Female,10,5,0,5,5,5,5,0,5,5,0,10,5,5,0,5,0,5,5,15,5,0,0,5
NU,Male,0,0,0,0,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
NA,NA,10,10,30,30,10,20,15,5,10,15,5,5,0,5,0,0,0,0,0,10,0,0,0,0
