Province,Code,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4
AB,A,615,1215,1380,870,1085,1070,600,400,730,520,490,700,935,875,715,490,465,850,1000,660,740,590,365,285
AB,B,905,1545,2190,1910,1785,1630,880,835,1900,960,510,545,1240,1135,1035,605,670,1235,1890,1155,1040,905,605,680
AB,C,170,215,185,160,310,315,110,110,375,255,100,130,385,430,340,165,220,400,580,350,220,60,135,95
AB,D,50,75,175,250,260,235,55,55,190,175,90,45,175,85,50,20,20,35,25,0,10,0,5,0
AB,O,4645,6155,6985,6685,7695,8595,6000,4930,7800,7690,5245,4995,5965,6790,6145,6235,5470,7555,6660,5815,4680,1820,2700,3105
BC,A,520,890,1165,895,1250,1205,665,545,1045,955,1070,1305,1995,1635,1440,1195,1405,1985,2660,1960,2075,1725,675,945
BC,B,445,845,915,700,1155,1270,485,545,1270,1035,1060,1400,2210,1330,1010,810,1050,1495,2140,1300,1365,1120,270,955
BC,C,85,110,90,70,95,105,40,35,120,110,70,70,145,240,225,130,145,220,400,345,250,35,70,40
BC,D,85,150,120,60,150,175,40,50,160,145,70,40,115,95,55,35,35,60,140,65,50,25,25,20
BC,O,4500,5365,6500,5360,6425,6975,4995,4305,6590,6225,4980,4790,6070,6895,6305,6170,4800,7980,8205,6255,5645,2285,2965,3410
MB,A,285,440,425,370,400,510,285,120,190,370,315,140,235,415,320,215,190,380,455,260,205,110,100,85
MB,B,140,220,270,175,280,295,150,115,280,390,220,150,310,305,205,180,170,465,605,375,305,150,235,245
MB,C,165,265,265,195,255,280,140,100,255,235,160,95,295,270,195,155,185,450,630,250,220,80,115,135
MB,D,30,45,55,45,65,40,20,25,45,45,10,15,80,70,40,45,55,165,255,130,90,30,70,55
MB,O,1375,1710,1720,1645,1840,2430,2130,1525,1915,2070,1695,1180,1445,1955,1770,1800,1665,2350,2425,1860,1310,555,940,805
NB,A,0,5,0,0,0,15,25,10,25,65,80,45,100,80,85,70,70,125,115,70,50,25,20,0
NB,B,15,15,30,10,30,25,5,10,20,55,45,35,90,85,100,45,75,160,140,95,60,50,45,35
NB,C,25,25,25,10,25,30,5,30,25,35,15,15,90,55,55,70,75,150,135,120,50,50,25,25
NB,D,0,0,0,0,0,5,0,0,0,10,0,5,10,0,0,0,0,0,0,0,0,0,0,0
NB,O,380,320,420,355,985,565,550,315,370,500,530,290,440,450,550,430,405,620,770,525,490,230,290,235
NL,A,0,10,0,0,10,0,0,0,0,0,0,0,15,5,5,5,0,15,0,0,15,5,0,0
NL,B,10,5,5,10,15,35,5,0,5,15,10,10,15,40,55,35,20,60,70,35,30,10,10,10
NL,C,0,0,0,0,0,0,0,0,5,5,10,0,0,0,5,0,0,0,0,0,0,0,0,0
NL,D,5,20,20,10,15,15,10,10,20,10,10,0,15,5,0,5,0,5,10,10,15,5,0,5
NL,O,90,115,130,165,180,160,155,80,120,155,180,95,130,170,210,170,140,260,235,225,155,65,70,115
NS,A,35,80,120,90,135,245,155,115,100,175,165,135,175,220,225,85,125,210,245,120,105,80,5,30
NS,B,30,50,50,25,70,125,35,50,140,95,95,100,200,180,170,120,170,300,335,170,130,195,65,90
NS,C,5,5,0,0,5,10,5,0,40,20,10,10,55,50,50,55,40,95,85,75,40,50,25,15
NS,D,0,10,5,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS,O,295,370,460,405,805,665,520,395,475,545,500,430,515,655,680,580,530,850,955,740,495,275,325,315
NT,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT,D,0,0,10,0,0,0,0,0,0,0,0,0,15,10,0,0,5,0,0,0,0,0,0,0
NT,O,20,40,40,25,25,35,25,25,45,40,20,25,40,35,35,40,25,40,20,20,30,10,15,10
NU,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
